factor,factor_name
factor_1,Количество ДТП с пострадавшими
factor_2,"Количество лиц, погибших в результате ДТП"
factor_3,"Количество лиц, получивших ранения в результате совершения ДТП"
factor_4,Число погибших на 100 пострадавших
factor_5,Смертность населения в ДТП в расчете на 100 тыс. человек населения
factor_6,Число погибших на 10 тыс. транспортных средств
factor_7,Наличие автомобильного транспорта всего
factor_8,Наличие легковых автомобилей
factor_9,Наличие грузовых автомобилей
factor_10,Наличие автобусов
factor_11,Возбуждено дел об административных правонарушениях всего
factor_12,Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств
factor_13,Возбуждено дел об административных правонарушениях в отношении пешеходов
factor_14,Возбуждено дел об административных правонарушениях в отношении пассажиров
factor_15,Количество нарушителей правил дорожного движения - водителей
factor_16,Количество нарушителей правил дорожного движения - пешеходов
factor_17,Количество нарушителей правил дорожного движения - пассажиров
factor_18,Количество нарушителей правил дорожного движения всего
